cluster_id,id,article_id,model,name,type,entity_id,paragraph,sentence
63172861-3123-491d-bdf7-f38094b45847,22317077,283956,english.all.3class.distsim.crf.ser,Corman,PERSON,642615,19,1
63172861-3123-491d-bdf7-f38094b45847,22317035,283956,english.all.3class.distsim.crf.ser,Corman,PERSON,642615,5,1
631a5367-a4c6-4d5d-88cc-da1c34ba8d33,45324840,424240,english.all.3class.distsim.crf.ser,Stephen Sorace,PERSON,205036,15,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45273599,423932,english.all.3class.distsim.crf.ser,Trump,PERSON,167,5,2
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45289264,424080,english.all.3class.distsim.crf.ser,Trump,PERSON,167,13,3
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45289328,424080,english.all.3class.distsim.crf.ser,Trump,PERSON,167,27,3
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45289377,424080,english.all.3class.distsim.crf.ser,Trump,PERSON,167,38,2
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,31202403,320418,english.all.3class.distsim.crf.ser,Trump,PERSON,167,4,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45345139,424388,english.all.3class.distsim.crf.ser,Trump,PERSON,167,7,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45349381,424392,english.all.3class.distsim.crf.ser,Trump,PERSON,167,2,2
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45349405,424392,english.all.3class.distsim.crf.ser,Trump,PERSON,167,8,2
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45350342,424393,english.all.3class.distsim.crf.ser,Trump,PERSON,167,1,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45350353,424393,english.all.3class.distsim.crf.ser,Trump,PERSON,167,3,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45354753,424397,english.all.3class.distsim.crf.ser,Trump,PERSON,167,3,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45354756,424397,english.all.3class.distsim.crf.ser,Trump,PERSON,167,4,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45354763,424397,english.all.3class.distsim.crf.ser,Trump,PERSON,167,5,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45354774,424397,english.all.3class.distsim.crf.ser,Trump,PERSON,167,6,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45354784,424397,english.all.3class.distsim.crf.ser,Trump,PERSON,167,7,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45331337,424348,english.all.3class.distsim.crf.ser,Donald Trump,PERSON,386,9,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45286609,424079,english.all.3class.distsim.crf.ser,Trump,PERSON,167,11,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45286633,424079,english.all.3class.distsim.crf.ser,Trump,PERSON,167,13,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45324793,424240,english.all.3class.distsim.crf.ser,Trump,PERSON,167,3,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45295180,424082,english.all.3class.distsim.crf.ser,Donald Trump,PERSON,386,10,3
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45301815,424087,english.all.3class.distsim.crf.ser,Trump,PERSON,167,1,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45301820,424087,english.all.3class.distsim.crf.ser,Trump,PERSON,167,2,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45301825,424087,english.all.3class.distsim.crf.ser,Trump,PERSON,167,3,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45301836,424087,english.all.3class.distsim.crf.ser,Trump,PERSON,167,7,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45300543,424086,english.all.3class.distsim.crf.ser,Trump,PERSON,167,1,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45300553,424086,english.all.3class.distsim.crf.ser,Trump,PERSON,167,2,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45300566,424086,english.all.3class.distsim.crf.ser,Trump,PERSON,167,3,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45300571,424086,english.all.3class.distsim.crf.ser,Trump,PERSON,167,5,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45300579,424086,english.all.3class.distsim.crf.ser,Trump,PERSON,167,6,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45300586,424086,english.all.3class.distsim.crf.ser,Trump,PERSON,167,7,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45274892,423933,english.all.3class.distsim.crf.ser,Donald Trump,PERSON,386,4,2
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45274899,423933,english.all.3class.distsim.crf.ser,Trump,PERSON,386,5,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45274905,423933,english.all.3class.distsim.crf.ser,Trump,PERSON,386,7,7
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45274913,423933,english.all.3class.distsim.crf.ser,Trump,PERSON,386,11,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45267611,423926,english.all.3class.distsim.crf.ser,Trump,PERSON,167,4,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45267615,423926,english.all.3class.distsim.crf.ser,Trump,PERSON,167,6,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45267617,423926,english.all.3class.distsim.crf.ser,Trump,PERSON,167,8,2
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45267619,423926,english.all.3class.distsim.crf.ser,Trump,PERSON,167,9,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45267626,423926,english.all.3class.distsim.crf.ser,Trump,PERSON,167,18,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45267631,423926,english.all.3class.distsim.crf.ser,Trump,PERSON,167,20,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45267635,423926,english.all.3class.distsim.crf.ser,Trump,PERSON,167,22,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45232260,423769,english.all.3class.distsim.crf.ser,Trump,PERSON,167,2,1
63758edf-0cdc-4c6e-bc20-ec1823f54dfb,45232268,423769,english.all.3class.distsim.crf.ser,Trump,PERSON,167,3,1
